No,Keyword,Search Volume,CPC,Paid Difficulty,SEO Difficulty
1,expense ratio calculator,1900,3.42,4,31
2,fire calculator,18100,2.46,21,27
3,flat vs reducing rate calculator,10,0,1,5
4,forex compounding calculator,720,3.18,1,27
5,forex profit calculator,1300,1.13,5,28
6,freelance rate calculator,480,12.75,4,28
7,gas fee calculator,12100,4.215,1,16
8,gift tax calculator,1300,2.81,3,29
9,goal savings calculator,2900,2.925,7,16
10,gold loan calculator,140,15.04,19,25
11,gross profit calculator,4400,3.65,5,27
12,hourly rate calculator,9900,2.56,3,16
13,hra exemption calculator,40,0,1,33
14,human life value calculator,70,0,4,27
15,income protection calculator,10,0,1,13
16,income vs expense calculator,10,0,25,13
17,latte factor calculator,110,0,1,33
18,lease vs buy calculator,880,2.55,18,14
19,line of credit calculator,2400,5.54,30,23
20,loan late payment calculator,0,0,1,4
21,lot size calculator,3600,0.97,5,33
22,lumpsum calculator,1000,4.51,4,34
23,marginal tax rate calculator,1900,2.93,21,28
24,markup calculator,22200,2.5,3,32
25,mileage reimbursement calculator,5400,5.24,4,32
26,minimum payment calculator,2400,10.41,3,20
27,money doubling calculator,70,0.97,13,33
28,money market calculator,5400,3.68,25,22
29,mortgage amortization calculator,60500,1.65,5,33
30,mortgage protection calculator,10,5.135,43,26
31,npv calculator,8100,7.79,11,24
