No,Keyword,Search Volume,CPC,Paid Difficulty,SEO Difficulty
1,52 week savings calculator,10,0,28,14
2,annual fee calculator,10,0,18,19
3,annualized return calculator,2400,2.75,10,35
4,annuity payout calculator,9900,3.2,55,32
5,baby cost calculator,0,0,1,12
6,balance transfer calculator,1900,5.81,42,17
7,balloon loan calculator,2900,1.55,5,14
8,bill split calculator,1600,1.94,2,23
9,billing rate calculator,70,0,2,15
10,bitcoin halving countdown,0,0,1,12
11,bitcoin profit calculator,0,0,1,12
12,biweekly mortgage calculator,1900,2.11,6,22
13,break even calculator,880,18.01,9,28
14,bridge loan calculator,1600,5.98,35,19
15,burn rate calculator,720,8.05,1,25
16,cac calculator,390,13.65,4,12
17,car depreciation calculator,8100,1.955,8,18
18,car loan refinance calculator,49500,3.08,19,31
19,car ownership cost calculator,1000,1.23,6,7
20,cashback calculator,720,27.92,2,21
21,cd calculator,165000,5.85,22,23
22,clv calculator,140,4.07,5,20
23,college cost calculator,0,0,1,12
24,commission calculator,4400,38.18,4,32
25,cost per use calculator,70,0,1,16
26,credit builder loan calculator,0,0,1,4
27,credit score simulator,6600,4.27,50,35
28,critical illness calculator,10,0,19,19
29,crypto dca calculator,70,0,1,21
30,crypto profit calculator,8100,8.36,1,34
31,ctc calculator,170,6.73,4,20
32,debt snowball calculator,8100,4.69,15,30
33,depreciation calculator,6600,6.11,2,20
34,dividend yield calculator,2900,2.89,6,24
35,drip calculator,9900,5.18,1,33
36,ebitda calculator,1000,3.77,24,20
37,effective tax rate calculator,8100,2.67,16,32
38,envelope budget calculator,0,0,1,12
39,ev vs gas calculator,480,6.37,8,35
