name,slug,icon,description
Loans & Debt,loans-debt,💳,EMI loan payoff and debt management calculators
Mortgage & Home,mortgage-home,🏠,Mortgage affordability refinance and home buying calculators
Investing,investing,📈,SIP returns compounding and stock market calculators
Retirement,retirement,🧓,Retirement corpus pension 401k and FIRE calculators
Savings & Deposits,savings-deposits,🐷,Savings goals FD RD and deposit growth calculators
Taxes,taxes,💰,Income tax sales tax VAT GST and capital gains calculators
Budgeting,budgeting,📊,Budget cash flow net worth and expense planning calculators
Salary & Income,salary-income,💵,Salary paycheck hourly and take-home pay calculators
Credit & Cards,credit-cards,🪪,Credit card payoff interest and credit score calculators
Insurance,insurance,🛡️,Life health and coverage needs insurance calculators
Business & Freelance,business-freelance,💼,Profit margin break-even and business finance calculators
Crypto,crypto,🪙,Crypto profit staking DCA and portfolio calculators
Currency & Forex,currency-forex,💱,Currency conversion forex profit and pip calculators
Education & Student,education-student,🎓,Student loan college cost and education savings calculators
Inflation & Economy,inflation-economy,📉,Inflation purchasing power and time value of money calculators
Auto & Vehicle,auto-vehicle,🚗,Car loan lease fuel and ownership cost calculators
Everyday Finance,everyday-finance,🧮,Tip discount percentage and everyday money calculators
