slug,title,type,url,done
"401k-calculator","401k Calculator","calculator","/calculators/401k-calculator",yes
"401k-match-calculator","401k Match Calculator","calculator","",no
"50-30-20-budget-calculator","50 30 20 Budget Calculator","calculator","",no
"52-week-savings-calculator","52 Week Savings Calculator","calculator","",no
"529-plan-calculator","529 Plan Calculator","calculator","",no
"apr-calculator","APR Calculator","calculator","",no
"allowance-calculator","Allowance Calculator","calculator","",no
"amortization-calculator","Amortization Schedule Calculator","calculator","",no
"annual-fee-calculator","Annual Fee Worth It Calculator","calculator","",no
"annual-income-calculator","Annual Income Calculator","calculator","",no
"annualized-return-calculator","Annualized Return Calculator","calculator","",no
"annuity-calculator","Annuity Calculator","calculator","",no
"annuity-payout-calculator","Annuity Payout Calculator","calculator","",no
"auto-loan-payoff-calculator","Auto Loan Payoff Calculator","calculator","/calculators/auto-loan-payoff-calculator",yes
"baby-cost-calculator","Baby Cost Calculator","calculator","",no
"balance-transfer-calculator","Balance Transfer Calculator","calculator","",no
"balloon-loan-calculator","Balloon Loan Calculator","calculator","",no
"bill-split-calculator","Bill Split Calculator","calculator","",no
"bitcoin-halving-countdown","Bitcoin Halving Countdown","tool","",no
"bitcoin-profit-calculator","Bitcoin Profit Calculator","calculator","",no
"biweekly-mortgage-calculator","Biweekly Mortgage Calculator","calculator","/calculators/biweekly-mortgage-calculator",yes
"bond-price-calculator","Bond Price Calculator","calculator","",no
"bond-yield-calculator","Bond Yield Calculator","calculator","",no
"bonus-calculator","Bonus Calculator","calculator","",no
"break-even-calculator","Break Even Calculator","calculator","",no
"bridge-loan-calculator","Bridge Loan Calculator","calculator","",no
"brokerage-calculator","Brokerage Calculator","calculator","",no
"budget-calculator","Budget Calculator","calculator","/calculators/budget-calculator",yes
"business-loan-calculator","Business Loan Calculator","calculator","/calculators/business-loan-calculator",yes
"cagr-calculator","CAGR Calculator","calculator","/calculators/cagr-calculator",yes
"cpi-calculator","CPI Calculator","calculator","",no
"ctc-calculator","CTC Calculator","calculator","",no
"capital-gains-calculator","Capital Gains Calculator","calculator","",no
"capital-gains-tax-calculator","Capital Gains Tax Calculator","calculator","",no
"car-affordability-calculator","Car Affordability Calculator","calculator","",no
"car-depreciation-calculator","Car Depreciation Calculator","calculator","",no
"car-insurance-calculator","Car Insurance Calculator","calculator","",no
"car-lease-calculator","Car Lease Calculator","calculator","",no
"car-loan-calculator","Car Loan Calculator","calculator","/calculators/car-loan-calculator",yes
"car-loan-refinance-calculator","Car Loan Refinance Calculator","calculator","",no
"cash-advance-calculator","Cash Advance Fee Calculator","calculator","",no
"burn-rate-calculator","Cash Burn Rate Calculator","calculator","",no
"cash-flow-calculator","Cash Flow Calculator","calculator","",no
"cashback-calculator","Cashback Rewards Calculator","calculator","",no
"cd-calculator","Certificate of Deposit Calculator","calculator","",no
"closing-cost-calculator","Closing Cost Calculator","calculator","",no
"coast-fire-calculator","Coast FIRE Calculator","calculator","",no
"college-cost-calculator","College Cost Calculator","calculator","",no
"college-savings-calculator","College Savings Calculator","calculator","",no
"commission-calculator","Commission Calculator","calculator","",no
"compound-interest-calculator","Compound Interest Calculator","calculator","/calculators/compound-interest-calculator",yes
